,User_Name,Name,Description (Status),Tweets Posted,Location,No of Followers,Device Used for Tweet,Date of Tweet Creation,No of Friends
0,AdarshPallav,Adarsh Pallav,,RT @satishacharya: Blueprint for 25 years! #Budget2022 https://t.co/X3NZ5cmMdH,,7,Twitter for Android,2022-02-07 07:11:43+00:00,38
1,bsindia,Business Standard,"Latest news on the economy, companies, markets, politics and technology from India's leading business daily.",#BSMorningShow | Will #RBI go for a hike in reverse repo rate? What is Tarun Bajaj’s take on revenue estimates? Wha… https://t.co/XjYKpoTSu4,India,2178279,TweetDeck,2022-02-07 07:11:00+00:00,430
2,bsindia,Business Standard,"Latest news on the economy, companies, markets, politics and technology from India's leading business daily.",#BSMornigShow | Will #RBI go for a hike in reverse repo rate? What is Tarun Bajaj’s take on revenue estimates? What… https://t.co/BHFpmhK2JS,India,2178279,Twitter Web App,2022-02-07 07:10:43+00:00,430
3,bsindia,Business Standard,"Latest news on the economy, companies, markets, politics and technology from India's leading business daily.",#BSMorningShow | Business Standard’s @aruproytweets and @Armilu spoke to Revenue Secretary Tarun Bajaj to know abou… https://t.co/7469mUmJMB,India,2178279,TweetDeck,2022-02-07 07:10:00+00:00,430
4,orfonline,ORF,"Non–partisan, independent analyses on security, strategy, economy, development, energy and global governance.",Tax concessions for co-operative societies is a step in the right direction to support financial inclusion of… https://t.co/xde23lDyLl,India,106444,TweetDeck,2022-02-07 07:10:00+00:00,136
5,AyushiRaina7,Ayushi Raina,,"RT @kjhindi: Krishi Jagran live Discussion ""Budget Ki Baat Kisano Ke Sath""
08 February 2022 | 3 Pm onwards
Watch live on: https://t.co/Qc4r…",,3,Twitter Web App,2022-02-07 07:09:57+00:00,0
6,acidicapt_,Adyaveer,"Bharatwasi, webaholic, newsoholic, RT not Endorsement",RT @purangu65364352: #AawazPunjabDi #कमल_खिलेगा_जोरों_से Help help help help #JantaKiAawazRahul #Budget2022 #sonusood @smritiirani #नेहासिं…,"Cuttack, India",5012,RT BOT Adyaveer,2022-02-07 07:08:46+00:00,26
7,Quess_Corp,Quess Corp Limited,India's Leading Business Services Provider | Largest Private Sector Employer,"Ajit Isaac, Founder &amp; Chairman, Quess Corp Limited  shares his  thoughts on the Budget 2022 with… https://t.co/sWSpyqqbTP","Bengaluru, India",3523,Twitter for Android,2022-02-07 07:08:17+00:00,273
8,purangu65364352,gupta,It is necessary to try every time.,#AawazPunjabDi #कमल_खिलेगा_जोरों_से Help help help help #JantaKiAawazRahul #Budget2022 #sonusood @smritiirani… https://t.co/iflesGI4E1,,15,Twitter for Android,2022-02-07 07:08:10+00:00,20
9,purangu65364352,gupta,It is necessary to try every time.,#AawazPunjabDi #कमल_खिलेगा_जोरों_से Help help help help #JantaKiAawazRahul #Budget2022 #sonusood @smritiirani… https://t.co/mwzJWdLIGr,,15,Twitter for Android,2022-02-07 07:08:05+00:00,20
10,purangu65364352,gupta,It is necessary to try every time.,#AawazPunjabDi #कमल_खिलेगा_जोरों_से Help help help help #JantaKiAawazRahul #Budget2022 #sonusood @smritiirani… https://t.co/gXV17cHBIY,,15,Twitter for Android,2022-02-07 07:07:58+00:00,20
11,nsitharamanoffc,NSitharamanOffice,Office of Smt. @nsitharaman,"RT @ASSOCHAM4India: The #Budget2022 is pathbreaking. The boldest step is allocating Rs.19,500 crore for the solar PLI scheme. I think it wi…","New Delhi, India",430930,Twitter for Android,2022-02-07 07:07:56+00:00,5523
12,imkkailash,Kailash khandelwal 🇮🇳,राष्ट्रीय सदस्य विश्वसनातन हिंदु संसद #बेटी_बचाओ_बेटी_पढ़ाओ प्रदेश सचिव आ.भा.वैश्य महासंगठन• सेवक@bjp4india• ex member Bjym• भजन लेखक• #समाजसेवक •Rt×endorsement,"RT @CNBCTV18News: #Budget2022 | 'Indian businesses should ensure that India doesn't miss the bus this time like we did in 2011-12, also nee…",Jaipur - Mumbai - Delhi India,836,Twitter for Android,2022-02-07 07:07:53+00:00,988
13,purangu65364352,gupta,It is necessary to try every time.,#AawazPunjabDi #कमल_खिलेगा_जोरों_से Help help help help #JantaKiAawazRahul #Budget2022 #sonusood @smritiirani… https://t.co/AhiOLRzAvc,,15,Twitter for Android,2022-02-07 07:07:53+00:00,20
14,thefaisalbaig,Faisal Baig,,RT @zebpay: The move to tax virtual digital assets gives the entire ecosystem including investors and exchanges transparency on the road ah…,India,6,Twitter Web App,2022-02-07 07:07:01+00:00,5
15,sameermishra066,Sameer Mishra,"A Nature lover, conserver, Air Quality Researcher at CSTEP by profession Clean Air Activism | Ganga worshipper | Spiritual Orator | Ayurved l Views are personal","RT @CPR_Climate: #Environmentality | S. Mathew &amp; @AruneshKarkun on #Budget2022 and its implications for #AirQuality governance:
–A silent p…","Bengaluru, India",236,Twitter for Android,2022-02-07 07:07:00+00:00,1220
16,FinMinIndia,Ministry of Finance,"Official Account of the Ministry of Finance, Government of India.","RT @ASSOCHAM4India: The #Budget2022 is pathbreaking. The boldest step is allocating Rs.19,500 crore for the solar PLI scheme. I think it wi…",New Delhi,3061108,Twitter for Android,2022-02-07 07:06:53+00:00,203
17,bsindia,Business Standard,"Latest news on the economy, companies, markets, politics and technology from India's leading business daily.",#BSMorningShow | Business Standard’s @aruproytweets and @Armilu spoke to Revenue Secretary Tarun Bajaj to know abou… https://t.co/cWxmoyfSIf,India,2178282,TweetDeck,2022-02-07 07:06:43+00:00,430
18,thefaisalbaig,Faisal Baig,,"RT @zebpay: The first step towards regulatory direction!

#ZebPay #Crypto #India #Budget2022 https://t.co/Oj7nJWQJv2",India,6,Twitter Web App,2022-02-07 07:06:13+00:00,5
19,UpmaW,Upma Wardhan,"Podcaster,storyteller,
love @ punjabi culture,
spread happiness
n win a world tour from God 
https://t.co/A0uhKVvd6t","Narendra Modi Govt is committed to the welfare of farmers.

Since the launch of PM- Kisan it has provided income su… https://t.co/BvdeH9HZYS",,108,Twitter for Android,2022-02-07 07:06:04+00:00,1092
20,shashik48541101,Shashikant Patel,,"RT @stpiindia: #STPINEWS: Sh. Arvind Kumar, DG, #STPIINDIA while emphasizing on how the #Budget2022 is a futuristic one with focus on digit…",,67,Twitter for Android,2022-02-07 07:05:59+00:00,15
21,sbajpai2806,Shishir Bajpai 🇮🇳,Bhartiya | Working in Financial Services | #IAmNewIndia | Views and Opinions are Personal and not of Company,"#ChrisWood, Jefferies on India
- This to me is a pro growth budget
- Not concerned about inflation situation in Ind… https://t.co/mWmjfJkRWf",Bharat ,4615,Twitter for Android,2022-02-07 07:05:30+00:00,971
22,shashik48541101,Shashikant Patel,,"RT @stpiindia: “We have to deploy the architecture, which enables us to create millions of #WiFi hotspots in this country. #Budget2022 also…",,67,Twitter for Android,2022-02-07 07:05:14+00:00,15
23,abhijitkadle,Prometheus Iapetus,"Dork, Outsider, Grower, Toker, Polybiryani, Drugs, Nature, Books, Lego, 33 yrs on a motorcycle. Asleep 9-5","RT @lifeindia2016: LIFE's analysis of budget 2022: How oil palms get more allocation than climate change adaptation, air pollution control,…","Pune, India",1817,Twitter for iPhone,2022-02-07 07:05:03+00:00,1608
24,shashik48541101,Shashikant Patel,,RT @s_subodh: @stpiindia The vision of @_DigitalIndia gets further push with each sector adopting greater use of emerging digital technolog…,,67,Twitter for Android,2022-02-07 07:05:02+00:00,15
25,orfonline,ORF,"Non–partisan, independent analyses on security, strategy, economy, development, energy and global governance.",.@ShamikaRavi writes on how #Budget2022 is a reinforcement of last year’s strategy of economic recovery from the… https://t.co/s9uYvnJXoH,India,106456,TweetDeck,2022-02-07 07:05:00+00:00,136
26,phdchamber,PHD Chamber,"PHDCCI, established in 1905, is a proactive and dynamic multi-State apex organisation working at grass-root level with strong national & international linkages",#PHDCCI is organising an interactive session with Hon'ble Finance Minister Smt. Nirmala Sitharaman to discuss 'Impl… https://t.co/d7ujV90q93,India,9061,Twitter Web App,2022-02-07 07:04:50+00:00,2476
